"RegionName","HousingType","Time","Value"
"San Francisco","3 Bedroom",2011-02-01,NA
"Seattle","3 Bedroom",2011-02-01,235.159817351598
"Los Angeles","4 Bedroom",2011-02-01,NA
"San Francisco","4 Bedroom",2011-02-01,NA
"Seattle","4 Bedroom",2011-02-01,214.270833333333
"New York","5+ Bedroom",2011-02-01,223.529411764706
"Los Angeles","5+ Bedroom",2011-02-01,NA
"San Francisco","5+ Bedroom",2011-02-01,NA
"Seattle","5+ Bedroom",2011-02-01,193.169565217391
"Los Angeles","All Homes",2011-02-01,NA
"San Francisco","All Homes",2011-02-01,NA
"Seattle","All Homes",2011-02-01,259.041450777202
"New York","Condominium",2011-02-01,NA
"Los Angeles","Condominium",2011-02-01,NA
"San Francisco","Condominium",2011-02-01,609.243697478992
"Seattle","Condominium",2011-02-01,304.259634888438
"New York","Single Family Residence",2011-02-01,NA
"Los Angeles","Single Family Residence",2011-02-01,NA
"San Francisco","Single Family Residence",2011-02-01,NA
"Seattle","Single Family Residence",2011-02-01,233.907510080645
"Los Angeles","1 Bedroom",2011-03-01,NA
"San Francisco","1 Bedroom",2011-03-01,626.342161775233
"Seattle","1 Bedroom",2011-03-01,322.734499205087
"Los Angeles","2 Bedroom",2011-03-01,NA
"San Francisco","2 Bedroom",2011-03-01,NA
"Seattle","2 Bedroom",2011-03-01,284.687885211341
"Los Angeles","3 Bedroom",2011-03-01,NA
"San Francisco","3 Bedroom",2011-03-01,NA
"Seattle","3 Bedroom",2011-03-01,234.145569620253
"Los Angeles","4 Bedroom",2011-03-01,NA
"San Francisco","4 Bedroom",2011-03-01,NA
"Seattle","4 Bedroom",2011-03-01,215.05376344086
"New York","5+ Bedroom",2011-03-01,226.704545454545
"Los Angeles","5+ Bedroom",2011-03-01,NA
"San Francisco","5+ Bedroom",2011-03-01,NA
"Seattle","5+ Bedroom",2011-03-01,189.593569661995
"Los Angeles","All Homes",2011-03-01,NA
"San Francisco","All Homes",2011-03-01,NA
"Seattle","All Homes",2011-03-01,258.441005400914
"New York","Condominium",2011-03-01,NA
"Los Angeles","Condominium",2011-03-01,NA
"San Francisco","Condominium",2011-03-01,621.052631578947
"Seattle","Condominium",2011-03-01,302.824429711323
"New York","Single Family Residence",2011-03-01,NA
"Los Angeles","Single Family Residence",2011-03-01,NA
"San Francisco","Single Family Residence",2011-03-01,NA
"Seattle","Single Family Residence",2011-03-01,232.064834911865
"Los Angeles","1 Bedroom",2011-04-01,NA
"San Francisco","1 Bedroom",2011-04-01,634.089058615845
"Seattle","1 Bedroom",2011-04-01,310.458563767387
"Los Angeles","2 Bedroom",2011-04-01,NA
"San Francisco","2 Bedroom",2011-04-01,NA
"Seattle","2 Bedroom",2011-04-01,274.428874160525
"Los Angeles","3 Bedroom",2011-04-01,NA
"San Francisco","3 Bedroom",2011-04-01,NA
"Seattle","3 Bedroom",2011-04-01,226.559754394639
"Los Angeles","4 Bedroom",2011-04-01,NA
"San Francisco","4 Bedroom",2011-04-01,NA
"Seattle","4 Bedroom",2011-04-01,206.910429600973
"New York","5+ Bedroom",2011-04-01,223.294117647059
"Los Angeles","5+ Bedroom",2011-04-01,NA
"San Francisco","5+ Bedroom",2011-04-01,NA
"Seattle","5+ Bedroom",2011-04-01,183.982683982684
"Los Angeles","All Homes",2011-04-01,NA
"San Francisco","All Homes",2011-04-01,NA
"Seattle","All Homes",2011-04-01,248.288311778612
"New York","Condominium",2011-04-01,NA
"Los Angeles","Condominium",2011-04-01,NA
"San Francisco","Condominium",2011-04-01,626.568265682657
"Seattle","Condominium",2011-04-01,297.250047250047
"New York","Single Family Residence",2011-04-01,NA
"Los Angeles","Single Family Residence",2011-04-01,NA
"San Francisco","Single Family Residence",2011-04-01,NA
"Seattle","Single Family Residence",2011-04-01,223.126303964051
"Los Angeles","1 Bedroom",2011-05-01,NA
"San Francisco","1 Bedroom",2011-05-01,636.363636363636
"Seattle","1 Bedroom",2011-05-01,311.009174311927
"Los Angeles","2 Bedroom",2011-05-01,NA
"San Francisco","2 Bedroom",2011-05-01,NA
"Seattle","2 Bedroom",2011-05-01,270.789163722026
"Los Angeles","3 Bedroom",2011-05-01,NA
"San Francisco","3 Bedroom",2011-05-01,NA
"Seattle","3 Bedroom",2011-05-01,219.869109947644
"Los Angeles","4 Bedroom",2011-05-01,NA
"San Francisco","4 Bedroom",2011-05-01,NA
"Seattle","4 Bedroom",2011-05-01,206.22675005407
"New York","5+ Bedroom",2011-05-01,223.620378892468
"Los Angeles","5+ Bedroom",2011-05-01,NA
"San Francisco","5+ Bedroom",2011-05-01,NA
"Seattle","5+ Bedroom",2011-05-01,188.888888888889
"Los Angeles","All Homes",2011-05-01,NA
"San Francisco","All Homes",2011-05-01,NA
"Seattle","All Homes",2011-05-01,244.828759089843
"New York","Condominium",2011-05-01,NA
"Los Angeles","Condominium",2011-05-01,NA
"San Francisco","Condominium",2011-05-01,630.506245890861
"Seattle","Condominium",2011-05-01,293.013100436681
"New York","Single Family Residence",2011-05-01,NA
"Los Angeles","Single Family Residence",2011-05-01,NA
"San Francisco","Single Family Residence",2011-05-01,NA
"Seattle","Single Family Residence",2011-05-01,222.067307692308
"Los Angeles","1 Bedroom",2011-06-01,NA
"San Francisco","1 Bedroom",2011-06-01,630.506245890861
"Seattle","1 Bedroom",2011-06-01,315.703971119134
"Los Angeles","2 Bedroom",2011-06-01,NA
"San Francisco","2 Bedroom",2011-06-01,NA
"Seattle","2 Bedroom",2011-06-01,264.211745046551
"Los Angeles","3 Bedroom",2011-06-01,NA
"San Francisco","3 Bedroom",2011-06-01,NA
"Seattle","3 Bedroom",2011-06-01,224.047701149425
"Los Angeles","4 Bedroom",2011-06-01,NA
"San Francisco","4 Bedroom",2011-06-01,NA
"Seattle","4 Bedroom",2011-06-01,205.217948717949
"New York","5+ Bedroom",2011-06-01,224.504901960784
"Los Angeles","5+ Bedroom",2011-06-01,NA
"San Francisco","5+ Bedroom",2011-06-01,NA
"Seattle","5+ Bedroom",2011-06-01,193.536319478942
"Los Angeles","All Homes",2011-06-01,NA
"San Francisco","All Homes",2011-06-01,NA
"Seattle","All Homes",2011-06-01,243.440675188463
"New York","Condominium",2011-06-01,NA
"Los Angeles","Condominium",2011-06-01,NA
"San Francisco","Condominium",2011-06-01,621.963935189806
"Seattle","Condominium",2011-06-01,294.667095874242
"New York","Single Family Residence",2011-06-01,NA
"Los Angeles","Single Family Residence",2011-06-01,NA
"San Francisco","Single Family Residence",2011-06-01,NA
"Seattle","Single Family Residence",2011-06-01,221.012271568211
"Los Angeles","1 Bedroom",2011-07-01,NA
