"RegionName","HousingType","Time","Value"
"Los Angeles","Single Family Residence",2011-08-01,1.78967813540511
"San Francisco","Single Family Residence",2011-08-01,NA
"Seattle","Single Family Residence",2011-08-01,NA
"Los Angeles","1 Bedroom",2011-09-01,1.85393258426966
"San Francisco","1 Bedroom",2011-09-01,3.26688815060908
"Seattle","1 Bedroom",2011-09-01,1.72727272727273
"Los Angeles","2 Bedroom",2011-09-01,1.84864532019704
"San Francisco","2 Bedroom",2011-09-01,2.93706293706294
"Los Angeles","3 Bedroom",2011-09-01,1.70073589533933
"San Francisco","3 Bedroom",2011-09-01,NA
"Seattle","3 Bedroom",2011-09-01,1.25
"Los Angeles","4 Bedroom",2011-09-01,1.4727582292849
"Seattle","4 Bedroom",2011-09-01,1.04477611940298
"New York","All Homes",2011-09-01,NA
"Los Angeles","All Homes",2011-09-01,1.8
"San Francisco","All Homes",2011-09-01,2.90809889173061
"Seattle","All Homes",2011-09-01,1.44913793103448
"New York","Condominium",2011-09-01,NA
"Los Angeles","Condominium",2011-09-01,1.80020060180542
"San Francisco","Condominium",2011-09-01,3.29436769394261
"Seattle","Condominium",2011-09-01,1.81026671069044
"Los Angeles","Single Family Residence",2011-09-01,1.79881869542886
"San Francisco","Single Family Residence",2011-09-01,NA
"Seattle","Single Family Residence",2011-09-01,NA
"Los Angeles","1 Bedroom",2011-10-01,1.78759398496241
"San Francisco","1 Bedroom",2011-10-01,3.56174342775627
"Seattle","1 Bedroom",2011-10-01,1.71484822451317
"Los Angeles","2 Bedroom",2011-10-01,1.79347826086957
"San Francisco","2 Bedroom",2011-10-01,2.94117647058824
"Los Angeles","3 Bedroom",2011-10-01,1.6957852639099
"San Francisco","3 Bedroom",2011-10-01,NA
"Seattle","3 Bedroom",2011-10-01,1.22887073863636
"Los Angeles","4 Bedroom",2011-10-01,1.52793469165834
"Seattle","4 Bedroom",2011-10-01,1.05105105105105
"New York","All Homes",2011-10-01,NA
"Los Angeles","All Homes",2011-10-01,1.80756395995551
"San Francisco","All Homes",2011-10-01,2.96081266052506
"Seattle","All Homes",2011-10-01,1.44666746775615
"New York","Condominium",2011-10-01,NA
"Los Angeles","Condominium",2011-10-01,1.81103770988164
"San Francisco","Condominium",2011-10-01,3.46189464509451
"Seattle","Condominium",2011-10-01,1.73063055736283
"Los Angeles","Single Family Residence",2011-10-01,1.80747955172168
"San Francisco","Single Family Residence",2011-10-01,NA
"Seattle","Single Family Residence",2011-10-01,NA
"Los Angeles","1 Bedroom",2011-11-01,1.85289221806076
"San Francisco","1 Bedroom",2011-11-01,3.53378326411321
"Seattle","1 Bedroom",2011-11-01,1.77815063385533
"Los Angeles","2 Bedroom",2011-11-01,1.79545454545455
"San Francisco","2 Bedroom",2011-11-01,2.94657549375104
"Los Angeles","3 Bedroom",2011-11-01,1.72
"San Francisco","3 Bedroom",2011-11-01,NA
"Seattle","3 Bedroom",2011-11-01,1.21808943089431
"Los Angeles","4 Bedroom",2011-11-01,1.60198476805908
"Seattle","4 Bedroom",2011-11-01,1.03703703703704
"New York","All Homes",2011-11-01,NA
"Los Angeles","All Homes",2011-11-01,1.81623931623932
"San Francisco","All Homes",2011-11-01,3.04184191896056
"Seattle","All Homes",2011-11-01,1.46995192307692
"New York","Condominium",2011-11-01,NA
"Los Angeles","Condominium",2011-11-01,1.8495
"San Francisco","Condominium",2011-11-01,3.48557692307692
"Seattle","Condominium",2011-11-01,1.75130208333333
"Los Angeles","Single Family Residence",2011-11-01,1.78896636633026
"San Francisco","Single Family Residence",2011-11-01,NA
"Seattle","Single Family Residence",2011-11-01,NA
"Los Angeles","1 Bedroom",2011-12-01,1.86363636363636
"San Francisco","1 Bedroom",2011-12-01,3.32142857142857
"Seattle","1 Bedroom",2011-12-01,1.72858029801325
"Los Angeles","2 Bedroom",2011-12-01,1.78474903474903
"San Francisco","2 Bedroom",2011-12-01,2.96206896551724
"Los Angeles","3 Bedroom",2011-12-01,1.72004842287159
"San Francisco","3 Bedroom",2011-12-01,NA
"Seattle","3 Bedroom",2011-12-01,1.19444444444444
"Los Angeles","4 Bedroom",2011-12-01,1.53096729297147
"Seattle","4 Bedroom",2011-12-01,1.00502512562814
"New York","All Homes",2011-12-01,NA
"Los Angeles","All Homes",2011-12-01,1.79166666666667
