"RegionName","City","HousingType","Time","Value","lon","lat"
10003,"New York","All Homes",2012-10-01,20.57,-73.9874105,40.7322535
10003,"New York","All Homes",2012-11-01,20.58,-73.9874105,40.7322535
10003,"New York","All Homes",2012-12-01,20.44,-73.9874105,40.7322535
10003,"New York","All Homes",2013-01-01,21.32,-73.9874105,40.7322535
10003,"New York","All Homes",2013-02-01,21.5,-73.9874105,40.7322535
10003,"New York","All Homes",2013-03-01,21.41,-73.9874105,40.7322535
10003,"New York","All Homes",2013-04-01,21.44,-73.9874105,40.7322535
10003,"New York","All Homes",2013-05-01,21.17,-73.9874105,40.7322535
10003,"New York","All Homes",2013-06-01,21.37,-73.9874105,40.7322535
10003,"New York","All Homes",2013-07-01,22.61,-73.9874105,40.7322535
10003,"New York","All Homes",2013-08-01,22.84,-73.9874105,40.7322535
10003,"New York","All Homes",2013-09-01,22.17,-73.9874105,40.7322535
10003,"New York","All Homes",2013-10-01,22.2,-73.9874105,40.7322535
10003,"New York","All Homes",2013-11-01,22.72,-73.9874105,40.7322535
10003,"New York","All Homes",2013-12-01,22.26,-73.9874105,40.7322535
10003,"New York","All Homes",2014-01-01,21.88,-73.9874105,40.7322535
10003,"New York","All Homes",2014-02-01,22.05,-73.9874105,40.7322535
10003,"New York","All Homes",2014-03-01,22.52,-73.9874105,40.7322535
10003,"New York","All Homes",2014-04-01,24.11,-73.9874105,40.7322535
10003,"New York","All Homes",2014-05-01,24.86,-73.9874105,40.7322535
10003,"New York","All Homes",2014-06-01,25.05,-73.9874105,40.7322535
10003,"New York","All Homes",2014-07-01,24.79,-73.9874105,40.7322535
10003,"New York","All Homes",2014-08-01,24.23,-73.9874105,40.7322535
10003,"New York","All Homes",2014-09-01,24.23,-73.9874105,40.7322535
10003,"New York","All Homes",2014-10-01,23.24,-73.9874105,40.7322535
10003,"New York","All Homes",2014-11-01,23.66,-73.9874105,40.7322535
10003,"New York","All Homes",2014-12-01,23.8,-73.9874105,40.7322535
10003,"New York","All Homes",2015-01-01,24.52,-73.9874105,40.7322535
10003,"New York","All Homes",2015-02-01,24.8,-73.9874105,40.7322535
