"RegionName","HousingType","Time","Value"
"New York","Condominium",1996-11-01,NA
"Los Angeles","Condominium",1996-11-01,125700
"San Francisco","Condominium",1996-11-01,264100
"Seattle","Condominium",1996-11-01,137100
"New York","Single Family Residence",1996-11-01,NA
"Los Angeles","Single Family Residence",1996-11-01,162400
"San Francisco","Single Family Residence",1996-11-01,271700
"Seattle","Single Family Residence",1996-11-01,175200
"New York","1 Bedroom",1996-12-01,NA
"Los Angeles","1 Bedroom",1996-12-01,93600
"San Francisco","1 Bedroom",1996-12-01,203700
"Seattle","1 Bedroom",1996-12-01,112500
"New York","2 Bedroom",1996-12-01,NA
"Los Angeles","2 Bedroom",1996-12-01,126300
"San Francisco","2 Bedroom",1996-12-01,264400
"Seattle","2 Bedroom",1996-12-01,147400
"New York","3 Bedroom",1996-12-01,163100
"Los Angeles","3 Bedroom",1996-12-01,154300
"San Francisco","3 Bedroom",1996-12-01,298800
"Seattle","3 Bedroom",1996-12-01,177000
"New York","4 Bedroom",1996-12-01,193600
"Los Angeles","4 Bedroom",1996-12-01,211000
"San Francisco","4 Bedroom",1996-12-01,333800
"Seattle","4 Bedroom",1996-12-01,208600
"New York","5+ Bedroom",1996-12-01,NA
"Los Angeles","5+ Bedroom",1996-12-01,388900
"San Francisco","5+ Bedroom",1996-12-01,405000
"Seattle","5+ Bedroom",1996-12-01,231500
"New York","All Homes",1996-12-01,NA
"Los Angeles","All Homes",1996-12-01,154800
"San Francisco","All Homes",1996-12-01,270800
"Seattle","All Homes",1996-12-01,166100
"New York","Condominium",1996-12-01,NA
"Los Angeles","Condominium",1996-12-01,125700
"San Francisco","Condominium",1996-12-01,266300
"Seattle","Condominium",1996-12-01,137400
"New York","Single Family Residence",1996-12-01,NA
"Los Angeles","Single Family Residence",1996-12-01,163200
"San Francisco","Single Family Residence",1996-12-01,273000
"Seattle","Single Family Residence",1996-12-01,176500
"New York","1 Bedroom",1997-01-01,NA
"Los Angeles","1 Bedroom",1997-01-01,93700
"San Francisco","1 Bedroom",1997-01-01,208000
"Seattle","1 Bedroom",1997-01-01,113100
"New York","2 Bedroom",1997-01-01,NA
"Los Angeles","2 Bedroom",1997-01-01,127000
"San Francisco","2 Bedroom",1997-01-01,267300
"Seattle","2 Bedroom",1997-01-01,148300
"New York","3 Bedroom",1997-01-01,164100
"Los Angeles","3 Bedroom",1997-01-01,155400
"San Francisco","3 Bedroom",1997-01-01,301800
"Seattle","3 Bedroom",1997-01-01,178200
"New York","4 Bedroom",1997-01-01,194800
"Los Angeles","4 Bedroom",1997-01-01,212600
"San Francisco","4 Bedroom",1997-01-01,337000
"Seattle","4 Bedroom",1997-01-01,210400
"New York","5+ Bedroom",1997-01-01,NA
"Los Angeles","5+ Bedroom",1997-01-01,394400
"San Francisco","5+ Bedroom",1997-01-01,411500
"Seattle","5+ Bedroom",1997-01-01,233800
"New York","All Homes",1997-01-01,NA
"Los Angeles","All Homes",1997-01-01,155900
"San Francisco","All Homes",1997-01-01,273300
"Seattle","All Homes",1997-01-01,167200
"New York","Condominium",1997-01-01,NA
"Los Angeles","Condominium",1997-01-01,126500
"San Francisco","Condominium",1997-01-01,270100
"Seattle","Condominium",1997-01-01,137700
"New York","Single Family Residence",1997-01-01,NA
"Los Angeles","Single Family Residence",1997-01-01,164200
"San Francisco","Single Family Residence",1997-01-01,274700
"Seattle","Single Family Residence",1997-01-01,177700
"New York","1 Bedroom",1997-02-01,NA
"Los Angeles","1 Bedroom",1997-02-01,93700
"San Francisco","1 Bedroom",1997-02-01,213800
"Seattle","1 Bedroom",1997-02-01,114300
"New York","2 Bedroom",1997-02-01,NA
"Los Angeles","2 Bedroom",1997-02-01,127800
"San Francisco","2 Bedroom",1997-02-01,270800
"Seattle","2 Bedroom",1997-02-01,149600
"New York","3 Bedroom",1997-02-01,165900
"Los Angeles","3 Bedroom",1997-02-01,156400
"San Francisco","3 Bedroom",1997-02-01,304800
"Seattle","3 Bedroom",1997-02-01,179400
"New York","4 Bedroom",1997-02-01,196400
"Los Angeles","4 Bedroom",1997-02-01,214300
"San Francisco","4 Bedroom",1997-02-01,340900
"Seattle","4 Bedroom",1997-02-01,212000
"New York","5+ Bedroom",1997-02-01,NA
"Los Angeles","5+ Bedroom",1997-02-01,399000
"San Francisco","5+ Bedroom",1997-02-01,419000
"Seattle","5+ Bedroom",1997-02-01,236400
"New York","All Homes",1997-02-01,NA
"Los Angeles","All Homes",1997-02-01,157000
"San Francisco","All Homes",1997-02-01,276200
"Seattle","All Homes",1997-02-01,168600
"New York","Condominium",1997-02-01,NA
"Los Angeles","Condominium",1997-02-01,127600
"San Francisco","Condominium",1997-02-01,274700
"Seattle","Condominium",1997-02-01,138700
"New York","Single Family Residence",1997-02-01,NA
"Los Angeles","Single Family Residence",1997-02-01,165300
"San Francisco","Single Family Residence",1997-02-01,277100
"Seattle","Single Family Residence",1997-02-01,178800
"New York","1 Bedroom",1997-03-01,NA
"Los Angeles","1 Bedroom",1997-03-01,93800
"San Francisco","1 Bedroom",1997-03-01,219100
"Seattle","1 Bedroom",1997-03-01,115700
"New York","2 Bedroom",1997-03-01,NA
"Los Angeles","2 Bedroom",1997-03-01,128600
"San Francisco","2 Bedroom",1997-03-01,273300
"Seattle","2 Bedroom",1997-03-01,150700
"New York","3 Bedroom",1997-03-01,167800
"Los Angeles","3 Bedroom",1997-03-01,157100
"San Francisco","3 Bedroom",1997-03-01,307100
"Seattle","3 Bedroom",1997-03-01,180500
"New York","4 Bedroom",1997-03-01,198300
"Los Angeles","4 Bedroom",1997-03-01,215500
"San Francisco","4 Bedroom",1997-03-01,345000
"Seattle","4 Bedroom",1997-03-01,213700
"New York","5+ Bedroom",1997-03-01,NA
"Los Angeles","5+ Bedroom",1997-03-01,402900
"San Francisco","5+ Bedroom",1997-03-01,423400
"Seattle","5+ Bedroom",1997-03-01,239100
"New York","All Homes",1997-03-01,NA
"Los Angeles","All Homes",1997-03-01,157700
"San Francisco","All Homes",1997-03-01,278900
"Seattle","All Homes",1997-03-01,169700
"New York","Condominium",1997-03-01,NA
"Los Angeles","Condominium",1997-03-01,128700
"San Francisco","Condominium",1997-03-01,277800
"Seattle","Condominium",1997-03-01,140100
"New York","Single Family Residence",1997-03-01,NA
"Los Angeles","Single Family Residence",1997-03-01,166300
"San Francisco","Single Family Residence",1997-03-01,279500
"Seattle","Single Family Residence",1997-03-01,180200
"New York","1 Bedroom",1997-04-01,NA
"Los Angeles","1 Bedroom",1997-04-01,93700
"San Francisco","1 Bedroom",1997-04-01,223000
"Seattle","1 Bedroom",1997-04-01,116500
"New York","2 Bedroom",1997-04-01,NA
"Los Angeles","2 Bedroom",1997-04-01,129300
"San Francisco","2 Bedroom",1997-04-01,275100
"Seattle","2 Bedroom",1997-04-01,151800
"New York","3 Bedroom",1997-04-01,169400
"Los Angeles","3 Bedroom",1997-04-01,157400
"San Francisco","3 Bedroom",1997-04-01,309300
"Seattle","3 Bedroom",1997-04-01,182100
"New York","4 Bedroom",1997-04-01,200500
"Los Angeles","4 Bedroom",1997-04-01,216200
"San Francisco","4 Bedroom",1997-04-01,349000
