"RegionName","HousingType","Time","Value"
"San Francisco","All Homes",2010-10-01,NA
"Seattle","All Homes",2010-10-01,350000
"New York","Condominium",2010-10-01,NA
"Los Angeles","Condominium",2010-10-01,NA
"San Francisco","Condominium",2010-10-01,699000
"Seattle","Condominium",2010-10-01,295000
"New York","Single Family Residence",2010-10-01,NA
"Los Angeles","Single Family Residence",2010-10-01,NA
"San Francisco","Single Family Residence",2010-10-01,NA
"Seattle","Single Family Residence",2010-10-01,NA
"New York","1 Bedroom",2010-11-01,NA
"Los Angeles","1 Bedroom",2010-11-01,NA
"San Francisco","1 Bedroom",2010-11-01,NA
"Seattle","1 Bedroom",2010-11-01,NA
"Los Angeles","2 Bedroom",2010-11-01,NA
"San Francisco","2 Bedroom",2010-11-01,NA
"Seattle","2 Bedroom",2010-11-01,325000
"Los Angeles","3 Bedroom",2010-11-01,NA
"San Francisco","3 Bedroom",2010-11-01,NA
"Seattle","3 Bedroom",2010-11-01,395000
"Los Angeles","4 Bedroom",2010-11-01,NA
"San Francisco","4 Bedroom",2010-11-01,NA
"Seattle","4 Bedroom",2010-11-01,484950
"New York","5+ Bedroom",2010-11-01,569000
"Los Angeles","5+ Bedroom",2010-11-01,NA
"Seattle","5+ Bedroom",2010-11-01,NA
"New York","All Homes",2010-11-01,NA
"Los Angeles","All Homes",2010-11-01,NA
"San Francisco","All Homes",2010-11-01,NA
"Seattle","All Homes",2010-11-01,349000
"New York","Condominium",2010-11-01,NA
"Los Angeles","Condominium",2010-11-01,NA
"San Francisco","Condominium",2010-11-01,675000
"Seattle","Condominium",2010-11-01,289000
"New York","Single Family Residence",2010-11-01,NA
"Los Angeles","Single Family Residence",2010-11-01,NA
"San Francisco","Single Family Residence",2010-11-01,NA
"Seattle","Single Family Residence",2010-11-01,NA
"New York","1 Bedroom",2010-12-01,NA
"Los Angeles","1 Bedroom",2010-12-01,NA
"San Francisco","1 Bedroom",2010-12-01,NA
"Seattle","1 Bedroom",2010-12-01,NA
"Los Angeles","2 Bedroom",2010-12-01,NA
"San Francisco","2 Bedroom",2010-12-01,NA
"Seattle","2 Bedroom",2010-12-01,319950
"Los Angeles","3 Bedroom",2010-12-01,NA
"San Francisco","3 Bedroom",2010-12-01,NA
"Seattle","3 Bedroom",2010-12-01,383800
"Los Angeles","4 Bedroom",2010-12-01,NA
