"RegionName","HousingType","Time","Value"
"Seattle","All Homes",2000-12-01,195
"New York","All Homes",2001-01-01,NA
"Los Angeles","All Homes",2001-01-01,159
"San Francisco","All Homes",2001-01-01,393
"Seattle","All Homes",2001-01-01,195
"New York","All Homes",2001-02-01,NA
"Los Angeles","All Homes",2001-02-01,162
"San Francisco","All Homes",2001-02-01,394
"Seattle","All Homes",2001-02-01,196
"New York","All Homes",2001-03-01,NA
"Los Angeles","All Homes",2001-03-01,164
"San Francisco","All Homes",2001-03-01,396
"Seattle","All Homes",2001-03-01,197
"New York","All Homes",2001-04-01,NA
"Los Angeles","All Homes",2001-04-01,165
"San Francisco","All Homes",2001-04-01,397
"Seattle","All Homes",2001-04-01,198
"New York","All Homes",2001-05-01,NA
"Los Angeles","All Homes",2001-05-01,166
"San Francisco","All Homes",2001-05-01,396
"Seattle","All Homes",2001-05-01,199
"New York","All Homes",2001-06-01,NA
"Los Angeles","All Homes",2001-06-01,167
"San Francisco","All Homes",2001-06-01,395
"Seattle","All Homes",2001-06-01,199
"New York","All Homes",2001-07-01,NA
"Los Angeles","All Homes",2001-07-01,168
"San Francisco","All Homes",2001-07-01,396
"Seattle","All Homes",2001-07-01,199
"New York","All Homes",2001-08-01,NA
"Los Angeles","All Homes",2001-08-01,169
"San Francisco","All Homes",2001-08-01,398
"Seattle","All Homes",2001-08-01,200
"New York","All Homes",2001-09-01,NA
"Los Angeles","All Homes",2001-09-01,170
"San Francisco","All Homes",2001-09-01,400
"Seattle","All Homes",2001-09-01,201
"New York","All Homes",2001-10-01,NA
"Los Angeles","All Homes",2001-10-01,172
"San Francisco","All Homes",2001-10-01,401
"Seattle","All Homes",2001-10-01,202
"New York","All Homes",2001-11-01,NA
"Los Angeles","All Homes",2001-11-01,174
"San Francisco","All Homes",2001-11-01,401
"Seattle","All Homes",2001-11-01,203
"New York","All Homes",2001-12-01,NA
"Los Angeles","All Homes",2001-12-01,176
"San Francisco","All Homes",2001-12-01,403
"Seattle","All Homes",2001-12-01,204
"New York","All Homes",2002-01-01,NA
"Los Angeles","All Homes",2002-01-01,178
"San Francisco","All Homes",2002-01-01,407
"Seattle","All Homes",2002-01-01,204
"New York","All Homes",2002-02-01,NA
"Los Angeles","All Homes",2002-02-01,180
"San Francisco","All Homes",2002-02-01,410
"Seattle","All Homes",2002-02-01,204
"New York","All Homes",2002-03-01,NA
"Los Angeles","All Homes",2002-03-01,182
"San Francisco","All Homes",2002-03-01,413
"Seattle","All Homes",2002-03-01,205
"New York","All Homes",2002-04-01,NA
"Los Angeles","All Homes",2002-04-01,184
"San Francisco","All Homes",2002-04-01,416
"Seattle","All Homes",2002-04-01,206
"New York","All Homes",2002-05-01,NA
"Los Angeles","All Homes",2002-05-01,187
"San Francisco","All Homes",2002-05-01,424
"Seattle","All Homes",2002-05-01,207
"New York","All Homes",2002-06-01,NA
"Los Angeles","All Homes",2002-06-01,190
"San Francisco","All Homes",2002-06-01,433
"Seattle","All Homes",2002-06-01,208
"New York","All Homes",2002-07-01,NA
"Los Angeles","All Homes",2002-07-01,193
"San Francisco","All Homes",2002-07-01,441
"Seattle","All Homes",2002-07-01,209
"New York","All Homes",2002-08-01,NA
"Los Angeles","All Homes",2002-08-01,197
"San Francisco","All Homes",2002-08-01,448
"Seattle","All Homes",2002-08-01,210
"New York","All Homes",2002-09-01,NA
"Los Angeles","All Homes",2002-09-01,200
"San Francisco","All Homes",2002-09-01,453
"Seattle","All Homes",2002-09-01,211
"New York","All Homes",2002-10-01,NA
"Los Angeles","All Homes",2002-10-01,204
