RegionName,State,Metro,CountyName,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03
White Plains,MD,Washington,Charles,301495,3.00E+05,307990,311845,320000,305000,319990,319990,317990,310990,324900,320000,309900,291945,303500,294900,307557.5,315990,314950,312450,309950,309900,308140,308140,315000,319900,312450,319900,320000,339900,339900,339900,339900,319499.5,327400,311700,320695,329900,329900,324900,334900
Mount Shasta,CA,,Siskiyou,,,,,,250000,261000,269500,286000,299000,3.00E+05,319000,323000,319000,329000,339000,328000,349000,329000,362000,350000,349000,345000,332000,345000,334500,342000,337000,357000,349000,354000,345000,329900,304950,329000,339500,349000,349000,359500,359500,369000
Wading River,NY,New York,Suffolk,422250,429000,439000,409900,440000,454900,454500,445000,447000,459990,477000,449990,472000,482450,475000,472449.5,475000,449000,437245,449000,449000,449500,420000,439900,439000,439000,443250,419000,439990,429450,434999,419949.5,424000,399999,399000,379990,379000,378500,399000,429000,404499.5
Bar Harbor,ME,,Hancock,299000,299000,323500,325000,325000,329000,331750,350000,354500,331500,332775,322000,321500,339000,354500,387500,399000,334000,362000,375000,375000,344000,349000,349000,350000,349000,349500,359500,374000,425000,434000,425000,429000,425000,427000,399995,392000,359000,395000,435000,435000
Amity Gardens,PA,Reading,Berks,,,,,,,,,,,,,,,,,,,,,269236,270650,266673,274900,274900,276870,276051,284900,286330,288328,286051,285104,286330,282990,281551,282885.5,282892,281272,281551,261728,261753
Frazier Park,CA,Bakersfield,Kern,,,,,,,,,,,,,,,,,,,213900,217900,224900,217400,206500,186500,184500,185000,179900,181950,179000,179900,182450,198450,198450,195000,174900,173500,187000,184900,173500,189000,187500
Whittier,NC,Cullowhee,Jackson,195000,194900,191950,195000,187350,189350,189000,189350,189000,189000,189000,189450,179500,179000,179700,189750,199700,207400,209000,199900,197500,199000,192500,192250,189500,199000,198250,198250,189900,189000,189450,189900,189950,194200,199200,199900,199150,198900,199999,2.00E+05,2.00E+05
Pratt,KS,,Pratt,,,,,,,,,,96900,91500,96000,95000,94000,90700,88000,88000,92950,98000,97500,89700,90950,83000,79900,79900,79900,83700,79900,83400,81500,79900,85000,85000,86000,87250,87500,85500,81450,79950,86000,82750
Plattsburg,MO,Kansas City,Caldwell,139500,149900,149900,139500,132950,124950,129900,127450,125000,125500,131750,115500,115000,112500,112500,115000,115000,124900,124900,134900,123700,124900,135000,135000,138700,128500,132450,155000,157450,161700,157450,164900,162400,159900,147500,139900,134900,130000,132450,137200,134900
Town of Theresa,NY,Watertown,Jefferson,,,,,,,,,,,,,,,,,,171950,174900,174950,175000,177900,171950,174000,174000,171500,168900,169500,169000,175000,185000,185000,178500,169250,174900,164450,176950,185000,160950,149900,145950
Butler Beach,FL,Jacksonville,Saint Johns,329000,320000,312000,314000,315000,298500,289900,312900,325000,329000,329000,329450,321700,337450,339000,339000,338500,327000,319000,335000,335000,349950,341995,346250,346245,349994.5,350000,349450,339995,349000,345000,359000,359000,360000,354000,359600,349900,339600,339900,340000,369450
Palmyra Township,PA,New York,Pike,225000,229000,229000,229000,234250,229000,219000,220000,223950,219000,207000,209000,199999,199499.5,199450,199973,199900,207449.5,204499.5,199900,217500,199700,199000,199000,198000,192500,179000,182000,199000,193950,193450,199000,199000,199000,208900,214000,217000,210000,225000,229000,229000
Friendship,WI,,Adams,119900,119900,119900,119900,126449.5,119900,119900,119000,109950,109000,109000,109900,109000,109900,102450,109900,109900,104500,113900,114950,119500,119900,118375,105950,111450,116900,119900,119900,121500,119900,120000,129900,122900,119900,119900,119900,119900,129950,131950,134900,134900
Cherokee Village,AR,,Sharp,70950,74500,74500,74900,74900,73900,69900,69900,73900,70900,69900,69975,69900,69550,67800,68700,66700,67500,69500,69900,69900,69900,69900,69900,72500,69900,69700,68500,68250,67950,67500,66500,67250,67500,69500,69500,69500,69500,69250,69500,74500
Los Ranchos de Albuquerque,NM,Albuquerque,Bernalillo,722450,749900,722500,760000,882000,909450,789650,799900,891950,849950,809750,799000,799500,799500,799500,699900,772000,699900,715000,725000,709500,789000,848000,849900,848950,848975,874975,750000,825000,825000,729000,715000,739950,749900,729000,714450,696200,686250,725000,692500,692000
Clermont,GA,Gainesville,Hall,161000,174900,181950,161950,168450,168450,183750,164900,159900,159900,159900,151900,157900,159900,159900,159900,160400,164900,179900,169900,169900,168900,169900,167900,167900,172710,172900,189000,188992.5,179900,179900,179900,179000,179900,182900,182900,181400,184900,182900,184900,184900
Rock Spring,GA,Chattanooga,Walker,157450,134900,156900,149900,159900,145900,149900,145900,145900,157449.5,169000,157400,157400,178950,175900,186750,184500,184900,186450,184900,179900,179900,177450,177450,169450,174900,189900,179700,183450,192350,164900,155950,163000,161950,169000,158700,162400,157500,164900,175000,169900
Pohatcong Township,NJ,Allentown,Warren,,,,,,,,,,,,,,,,197000,189900,184000,194500,209900,189900,185000,188250,185000,187500,182000,179000,185000,188700,188950,188000,184500,186200,184000,180250,178750,175000,162500,158750,162500,162500
Round Lake Park,IL,Chicago,Lake,,,,,,,,,,,,,,,119450,119900,119900,122900,124445,124900,118900,119900,120750,114900,109900,109900,118500,118500,115000,118200,124900,123498,119700,116900,119900,119900,119900,119900,109950,112400,119900
New Windsor,MD,Baltimore,Carroll,317450,304900,330000,330000,339000,349900,350000,354950,354900,359900,349900,350000,332500,330000,299905,299452.5,289500,289900,289950,307400,314900,319000,339900,334500,320250,325000,325000,312750,318950,349000,363907.5,339900,339000,339900,349900,339900,339900,339900,318445,330000,344950
Heber,AZ,Show Low,Navajo,,,,,,,,,,,,,,,,,,,,,,210000,202500,219500,199950,219700,219900,199900,214900,199450,2.00E+05,2.00E+05,199000,199900,199900,199900,199900,199450,194900,224250,230000
Orange,OH,Cleveland,Cuyahoga,,,,,,,,,,,,,,,,,,398000,389000,389000,339450,334500,365000,377000,350000,350000,336750,350000,347400,335900,329000,299900,311950,321500,297950,299900,304950,299900,292000,288800,286900
Rio Vista,CA,Vallejo,Solano,259900,259000,257990,264990,284950,289000,292450,289450,299500,319000,322445,3.00E+05,299900,299900,299900,315000,314900,308750,308750,310500,312500,314745,305000,299000,299000,293995,299000,309745,315000,324500,325000,329950,319000,335000,355000,365000,364250,364250,337845,350190,375000
Dunkirk,MD,Washington,Calvert,439900,439950,440000,444950,434900,437900,444900,439900,437900,435000,419000,414000,410000,424500,442000,414000,414000,422000,434450,425000,469000,445000,445000,484474,474999.5,475000,445000,439000,437450,469000,466722,479000,462219.5,482000,469500,469000,472445,472445,474250,465000,492000
Lakemoor,IL,Chicago,McHenry,,,,,,,,,,,,,,,,,,,,,,,,164900,155600,162900,169900,166400,169900,154900,163900,169905.5,168905.5,197225,194900,179900,179900,164950,169900,140500,157400
Rye,NH,Boston,Rockingham,,,,,,,,,,,,,,,,,,,819000,849500,849750,869900,879250,832000,799999,822000,799000,879000,899000,899000,879000,799000,839000,8.00E+05,825000,869000,882000,849000,885000,947500,895000
Paonia,CO,,Delta,,,,,,,,,,,,,,,,,,,,,218500,244000,230000,239000,227000,209900,210950,205000,194900,194950,205000,212200,247000,259000,249000,204900,219000,199900,199900,225000,231500
