"RegionName","HousingType","Time","Value"
"San Francisco","Single Family Residence",2014-02-01,3922.5
"Seattle","Single Family Residence",2014-02-01,2022.5
"New York","1 Bedroom",2014-03-01,2600
"Los Angeles","1 Bedroom",2014-03-01,1450
"San Francisco","1 Bedroom",2014-03-01,2995
"Seattle","1 Bedroom",2014-03-01,1495
"New York","2 Bedroom",2014-03-01,3100
"Los Angeles","2 Bedroom",2014-03-01,2150
"San Francisco","2 Bedroom",2014-03-01,4119
"New York","3 Bedroom",2014-03-01,NA
"Los Angeles","3 Bedroom",2014-03-01,2595
"San Francisco","3 Bedroom",2014-03-01,NA
"Seattle","3 Bedroom",2014-03-01,2150
"New York","4 Bedroom",2014-03-01,NA
"Los Angeles","4 Bedroom",2014-03-01,2800
"Seattle","4 Bedroom",2014-03-01,2272.5
"New York","5+ Bedroom",2014-03-01,NA
"New York","All Homes",2014-03-01,2895
"Los Angeles","All Homes",2014-03-01,NA
"San Francisco","All Homes",2014-03-01,3800
"Seattle","All Homes",2014-03-01,1900
"New York","Condominium",2014-03-01,3170
"Los Angeles","Condominium",2014-03-01,NA
"San Francisco","Condominium",2014-03-01,3800
"Seattle","Condominium",2014-03-01,1800
"New York","Single Family Residence",2014-03-01,2500
"Los Angeles","Single Family Residence",2014-03-01,2700
"San Francisco","Single Family Residence",2014-03-01,3800
"Seattle","Single Family Residence",2014-03-01,2062.5
"New York","1 Bedroom",2014-04-01,2600
"Los Angeles","1 Bedroom",2014-04-01,1495
"San Francisco","1 Bedroom",2014-04-01,3040
"Seattle","1 Bedroom",2014-04-01,1554
"New York","2 Bedroom",2014-04-01,3107
"Los Angeles","2 Bedroom",2014-04-01,2198
"San Francisco","2 Bedroom",2014-04-01,4250
"New York","3 Bedroom",2014-04-01,NA
"Los Angeles","3 Bedroom",2014-04-01,2675
"San Francisco","3 Bedroom",2014-04-01,NA
"Seattle","3 Bedroom",2014-04-01,2200
"New York","4 Bedroom",2014-04-01,NA
"Los Angeles","4 Bedroom",2014-04-01,2850
"Seattle","4 Bedroom",2014-04-01,2400
"New York","5+ Bedroom",2014-04-01,NA
"New York","All Homes",2014-04-01,2850
"Los Angeles","All Homes",2014-04-01,NA
"San Francisco","All Homes",2014-04-01,3850
"Seattle","All Homes",2014-04-01,1950
"New York","Condominium",2014-04-01,3150
"Los Angeles","Condominium",2014-04-01,NA
"San Francisco","Condominium",2014-04-01,3800
"Seattle","Condominium",2014-04-01,1850
"New York","Single Family Residence",2014-04-01,2500
"Los Angeles","Single Family Residence",2014-04-01,2700
"San Francisco","Single Family Residence",2014-04-01,3850
"Seattle","Single Family Residence",2014-04-01,2100
"New York","1 Bedroom",2014-05-01,2650
"Los Angeles","1 Bedroom",2014-05-01,1595
"San Francisco","1 Bedroom",2014-05-01,3252
"Seattle","1 Bedroom",2014-05-01,1640
"New York","2 Bedroom",2014-05-01,3199
"Los Angeles","2 Bedroom",2014-05-01,2247.5
"San Francisco","2 Bedroom",2014-05-01,4339
"New York","3 Bedroom",2014-05-01,NA
"Los Angeles","3 Bedroom",2014-05-01,2750
"San Francisco","3 Bedroom",2014-05-01,NA
"Seattle","3 Bedroom",2014-05-01,2425
"New York","4 Bedroom",2014-05-01,NA
"Los Angeles","4 Bedroom",2014-05-01,3000
"Seattle","4 Bedroom",2014-05-01,2597.5
"New York","5+ Bedroom",2014-05-01,NA
"New York","All Homes",2014-05-01,2950
"Los Angeles","All Homes",2014-05-01,NA
"San Francisco","All Homes",2014-05-01,4000
"Seattle","All Homes",2014-05-01,1995
"New York","Condominium",2014-05-01,3195
"Los Angeles","Condominium",2014-05-01,NA
"San Francisco","Condominium",2014-05-01,4000
"Seattle","Condominium",2014-05-01,1895
"New York","Single Family Residence",2014-05-01,2560
"Los Angeles","Single Family Residence",2014-05-01,2995
"San Francisco","Single Family Residence",2014-05-01,4200
"Seattle","Single Family Residence",2014-05-01,2375
"New York","1 Bedroom",2014-06-01,2649
"Los Angeles","1 Bedroom",2014-06-01,1600
"San Francisco","1 Bedroom",2014-06-01,3295
"Seattle","1 Bedroom",2014-06-01,1695
"New York","2 Bedroom",2014-06-01,3200
"Los Angeles","2 Bedroom",2014-06-01,2295
"San Francisco","2 Bedroom",2014-06-01,4400
"New York","3 Bedroom",2014-06-01,NA
"Los Angeles","3 Bedroom",2014-06-01,2795
"San Francisco","3 Bedroom",2014-06-01,NA
"Seattle","3 Bedroom",2014-06-01,2400
"New York","4 Bedroom",2014-06-01,NA
"Los Angeles","4 Bedroom",2014-06-01,3347.5
"Seattle","4 Bedroom",2014-06-01,2597.5
"New York","5+ Bedroom",2014-06-01,NA
"New York","All Homes",2014-06-01,2995
"Los Angeles","All Homes",2014-06-01,NA
"San Francisco","All Homes",2014-06-01,3950
"Seattle","All Homes",2014-06-01,1995
"New York","Condominium",2014-06-01,3200
"Los Angeles","Condominium",2014-06-01,NA
"San Francisco","Condominium",2014-06-01,3900
"Seattle","Condominium",2014-06-01,1800
"New York","Single Family Residence",2014-06-01,2550
"Los Angeles","Single Family Residence",2014-06-01,3180
"San Francisco","Single Family Residence",2014-06-01,3975
"Seattle","Single Family Residence",2014-06-01,2337.5
"New York","1 Bedroom",2014-07-01,2300
"Los Angeles","1 Bedroom",2014-07-01,1650
"San Francisco","1 Bedroom",2014-07-01,3292
"Seattle","1 Bedroom",2014-07-01,1725
"New York","2 Bedroom",2014-07-01,2695
"Los Angeles","2 Bedroom",2014-07-01,2350
"San Francisco","2 Bedroom",2014-07-01,4450
"New York","3 Bedroom",2014-07-01,NA
"Los Angeles","3 Bedroom",2014-07-01,2995
"San Francisco","3 Bedroom",2014-07-01,NA
"Seattle","3 Bedroom",2014-07-01,2500
"New York","4 Bedroom",2014-07-01,NA
"Los Angeles","4 Bedroom",2014-07-01,3500
"Seattle","4 Bedroom",2014-07-01,2625
"New York","5+ Bedroom",2014-07-01,NA
"New York","All Homes",2014-07-01,2900
"Los Angeles","All Homes",2014-07-01,NA
"San Francisco","All Homes",2014-07-01,4000
"Seattle","All Homes",2014-07-01,2100
"New York","Condominium",2014-07-01,3100
"Los Angeles","Condominium",2014-07-01,NA
"San Francisco","Condominium",2014-07-01,3995
"Seattle","Condominium",2014-07-01,1822.5
"New York","Single Family Residence",2014-07-01,2500
"Los Angeles","Single Family Residence",2014-07-01,3200
"San Francisco","Single Family Residence",2014-07-01,4000
"Seattle","Single Family Residence",2014-07-01,2400
"New York","1 Bedroom",2014-08-01,2295
"Los Angeles","1 Bedroom",2014-08-01,1695
"San Francisco","1 Bedroom",2014-08-01,3319
"Seattle","1 Bedroom",2014-08-01,1702.5
"New York","2 Bedroom",2014-08-01,2645
"Los Angeles","2 Bedroom",2014-08-01,2395
"San Francisco","2 Bedroom",2014-08-01,4550
"New York","3 Bedroom",2014-08-01,2850
"Los Angeles","3 Bedroom",2014-08-01,3035
"San Francisco","3 Bedroom",2014-08-01,NA
"Seattle","3 Bedroom",2014-08-01,2500
"New York","4 Bedroom",2014-08-01,3750
"Los Angeles","4 Bedroom",2014-08-01,3300
"Seattle","4 Bedroom",2014-08-01,2700
"New York","5+ Bedroom",2014-08-01,4495
"New York","All Homes",2014-08-01,2900
"Los Angeles","All Homes",2014-08-01,NA
"San Francisco","All Homes",2014-08-01,4050
"Seattle","All Homes",2014-08-01,2195
"New York","Condominium",2014-08-01,3100
"Los Angeles","Condominium",2014-08-01,NA
"San Francisco","Condominium",2014-08-01,3995
"Seattle","Condominium",2014-08-01,1895
"New York","Single Family Residence",2014-08-01,2600
"Los Angeles","Single Family Residence",2014-08-01,3200
"San Francisco","Single Family Residence",2014-08-01,4250
"Seattle","Single Family Residence",2014-08-01,2495
"New York","1 Bedroom",2014-09-01,2295
"Los Angeles","1 Bedroom",2014-09-01,1705
"San Francisco","1 Bedroom",2014-09-01,3350
"Seattle","1 Bedroom",2014-09-01,1710.5
"New York","2 Bedroom",2014-09-01,2650
"Los Angeles","2 Bedroom",2014-09-01,2395
"San Francisco","2 Bedroom",2014-09-01,4584
"New York","3 Bedroom",2014-09-01,2850
"Los Angeles","3 Bedroom",2014-09-01,3000
"San Francisco","3 Bedroom",2014-09-01,5750
"Seattle","3 Bedroom",2014-09-01,2495
"New York","4 Bedroom",2014-09-01,3795
"Los Angeles","4 Bedroom",2014-09-01,3497.5
"Seattle","4 Bedroom",2014-09-01,2500
"New York","5+ Bedroom",2014-09-01,4300
"New York","All Homes",2014-09-01,2900
"Los Angeles","All Homes",2014-09-01,2990
"San Francisco","All Homes",2014-09-01,4000
"Seattle","All Homes",2014-09-01,2100
"New York","Condominium",2014-09-01,3100
"Los Angeles","Condominium",2014-09-01,2650
"San Francisco","Condominium",2014-09-01,3995
"Seattle","Condominium",2014-09-01,1850
"New York","Single Family Residence",2014-09-01,2600
"Los Angeles","Single Family Residence",2014-09-01,3300
"San Francisco","Single Family Residence",2014-09-01,4417.5
"Seattle","Single Family Residence",2014-09-01,2397.5
"New York","1 Bedroom",2014-10-01,2250
"Los Angeles","1 Bedroom",2014-10-01,1750
"San Francisco","1 Bedroom",2014-10-01,3395
"Seattle","1 Bedroom",2014-10-01,1656
"New York","2 Bedroom",2014-10-01,2650
"Los Angeles","2 Bedroom",2014-10-01,2400
"San Francisco","2 Bedroom",2014-10-01,4600
"New York","3 Bedroom",2014-10-01,2800
"Los Angeles","3 Bedroom",2014-10-01,2995
"San Francisco","3 Bedroom",2014-10-01,5575
"Seattle","3 Bedroom",2014-10-01,2450
"New York","4 Bedroom",2014-10-01,3800
"Los Angeles","4 Bedroom",2014-10-01,3300
"Seattle","4 Bedroom",2014-10-01,2450
"New York","5+ Bedroom",2014-10-01,4300
"New York","All Homes",2014-10-01,2950
"Los Angeles","All Homes",2014-10-01,2900
"San Francisco","All Homes",2014-10-01,4250
"Seattle","All Homes",2014-10-01,2100
"New York","Condominium",2014-10-01,3100
"Los Angeles","Condominium",2014-10-01,2600
"San Francisco","Condominium",2014-10-01,4150
"Seattle","Condominium",2014-10-01,1900
"New York","Single Family Residence",2014-10-01,2700
"Los Angeles","Single Family Residence",2014-10-01,3200
"San Francisco","Single Family Residence",2014-10-01,4500
"Seattle","Single Family Residence",2014-10-01,2295
"New York","1 Bedroom",2014-11-01,2275
"Los Angeles","1 Bedroom",2014-11-01,1727.5
"San Francisco","1 Bedroom",2014-11-01,3379.5
"Seattle","1 Bedroom",2014-11-01,1650
"New York","2 Bedroom",2014-11-01,2600
"Los Angeles","2 Bedroom",2014-11-01,2426
"San Francisco","2 Bedroom",2014-11-01,4583
"New York","3 Bedroom",2014-11-01,2800
"Los Angeles","3 Bedroom",2014-11-01,3000
"San Francisco","3 Bedroom",2014-11-01,5495
"Seattle","3 Bedroom",2014-11-01,2400
"New York","4 Bedroom",2014-11-01,3650
"Los Angeles","4 Bedroom",2014-11-01,3325
"Seattle","4 Bedroom",2014-11-01,2450
"New York","5+ Bedroom",2014-11-01,4099.5
"New York","All Homes",2014-11-01,2900
"Los Angeles","All Homes",2014-11-01,2950
"San Francisco","All Homes",2014-11-01,4200
"Seattle","All Homes",2014-11-01,2097.5
"New York","Condominium",2014-11-01,3075
"Los Angeles","Condominium",2014-11-01,2650
"San Francisco","Condominium",2014-11-01,4100
"Seattle","Condominium",2014-11-01,1895
"New York","Single Family Residence",2014-11-01,2600
"Los Angeles","Single Family Residence",2014-11-01,3227.5
"San Francisco","Single Family Residence",2014-11-01,4417.5
"Seattle","Single Family Residence",2014-11-01,2295
"New York","1 Bedroom",2014-12-01,2200
"Los Angeles","1 Bedroom",2014-12-01,1770.5
"San Francisco","1 Bedroom",2014-12-01,3424
"Seattle","1 Bedroom",2014-12-01,1645
"New York","2 Bedroom",2014-12-01,2595
"Los Angeles","2 Bedroom",2014-12-01,2490
"San Francisco","2 Bedroom",2014-12-01,4700
"New York","3 Bedroom",2014-12-01,2700
"Los Angeles","3 Bedroom",2014-12-01,2990
"San Francisco","3 Bedroom",2014-12-01,5897.5
"Seattle","3 Bedroom",2014-12-01,2495
"New York","4 Bedroom",2014-12-01,3600
"Los Angeles","4 Bedroom",2014-12-01,3400
"Seattle","4 Bedroom",2014-12-01,2450
"New York","5+ Bedroom",2014-12-01,4250
"New York","All Homes",2014-12-01,2850
"Los Angeles","All Homes",2014-12-01,2950
"San Francisco","All Homes",2014-12-01,4500
"Seattle","All Homes",2014-12-01,1997.5
"New York","Condominium",2014-12-01,3095
"Los Angeles","Condominium",2014-12-01,2600
"San Francisco","Condominium",2014-12-01,4400
"Seattle","Condominium",2014-12-01,1875
"New York","Single Family Residence",2014-12-01,2495
"Los Angeles","Single Family Residence",2014-12-01,3250
"San Francisco","Single Family Residence",2014-12-01,4600
"Seattle","Single Family Residence",2014-12-01,2250
"New York","1 Bedroom",2015-01-01,2200
"Los Angeles","1 Bedroom",2015-01-01,1757.5
"San Francisco","1 Bedroom",2015-01-01,3495
"Seattle","1 Bedroom",2015-01-01,1672.5
"New York","2 Bedroom",2015-01-01,2595
"Los Angeles","2 Bedroom",2015-01-01,2499
"San Francisco","2 Bedroom",2015-01-01,4750
"New York","3 Bedroom",2015-01-01,2750
"Los Angeles","3 Bedroom",2015-01-01,2995
"San Francisco","3 Bedroom",2015-01-01,5995
"Seattle","3 Bedroom",2015-01-01,2427.5
"New York","4 Bedroom",2015-01-01,3600
"Los Angeles","4 Bedroom",2015-01-01,3500
"Seattle","4 Bedroom",2015-01-01,2495
"New York","5+ Bedroom",2015-01-01,4450
"New York","All Homes",2015-01-01,2920
"Los Angeles","All Homes",2015-01-01,2992.5
"San Francisco","All Homes",2015-01-01,4495
"Seattle","All Homes",2015-01-01,2000
"New York","Condominium",2015-01-01,3125
"Los Angeles","Condominium",2015-01-01,2650
"San Francisco","Condominium",2015-01-01,4300
"Seattle","Condominium",2015-01-01,1900
"New York","Single Family Residence",2015-01-01,2600
"Los Angeles","Single Family Residence",2015-01-01,3275
"San Francisco","Single Family Residence",2015-01-01,4500
"Seattle","Single Family Residence",2015-01-01,2250
"New York","1 Bedroom",2015-02-01,2275
"Los Angeles","1 Bedroom",2015-02-01,1799.5
"San Francisco","1 Bedroom",2015-02-01,3500
"Seattle","1 Bedroom",2015-02-01,1700
"New York","2 Bedroom",2015-02-01,2600
"Los Angeles","2 Bedroom",2015-02-01,2500
"San Francisco","2 Bedroom",2015-02-01,4740.5
"New York","3 Bedroom",2015-02-01,2800
"Los Angeles","3 Bedroom",2015-02-01,2950
"San Francisco","3 Bedroom",2015-02-01,5995
"Seattle","3 Bedroom",2015-02-01,2495
"New York","4 Bedroom",2015-02-01,3600
"Los Angeles","4 Bedroom",2015-02-01,3585
"Seattle","4 Bedroom",2015-02-01,2372.5
"New York","5+ Bedroom",2015-02-01,4000
"New York","All Homes",2015-02-01,2950
"Los Angeles","All Homes",2015-02-01,2950
"San Francisco","All Homes",2015-02-01,4495
"Seattle","All Homes",2015-02-01,1995
"New York","Condominium",2015-02-01,3100
"Los Angeles","Condominium",2015-02-01,2644
"San Francisco","Condominium",2015-02-01,4375
"Seattle","Condominium",2015-02-01,1850
"New York","Single Family Residence",2015-02-01,2600
"Los Angeles","Single Family Residence",2015-02-01,3250
"San Francisco","Single Family Residence",2015-02-01,4500
"Seattle","Single Family Residence",2015-02-01,2300
"New York","1 Bedroom",2015-03-01,2295
"Los Angeles","1 Bedroom",2015-03-01,1795
"San Francisco","1 Bedroom",2015-03-01,3500
"Seattle","1 Bedroom",2015-03-01,1707
"New York","2 Bedroom",2015-03-01,2600
"Los Angeles","2 Bedroom",2015-03-01,2499
"San Francisco","2 Bedroom",2015-03-01,4600
"New York","3 Bedroom",2015-03-01,2795
"Los Angeles","3 Bedroom",2015-03-01,2999
"San Francisco","3 Bedroom",2015-03-01,5995
"Seattle","3 Bedroom",2015-03-01,2550
"New York","4 Bedroom",2015-03-01,3599
